id,restaurant known for,delivery_rating,delivery_review_number,location,timings,average_price,Dishes,cuisines
1,"Delivery Person, Proper Packaging, Wonderful Presentation, Portion, Spicy, Good Taste",4.2,5,"Frazer Town, Bangalore","12midnight – 3am, 11am – 12midnight",₹400,,"['Burger', 'Fast Food', 'Wraps']"
2,"Bang for the Buck, Pocket Friendly, Cozy Ambiance, Good Offers, Nice Crowd, Polite Staff",4.0,13.1,"Commercial Street, Bangalore","12midnight – 2am, 7am – 12midnight",₹400,"Cookie Crunch, Chicken Whooper Burger, Cheesy Chicken Fries, Burger, Wings, Shake","['Burger', 'Fast Food', 'Desserts', 'Beverages']"
3,"Delivery Instructions, Elegantly Decorated, Nice Crowd, Reasonable Prices, Prompt Service, Fast Delivery",3.8,68.9,"BTM, Bangalore",Opens tomorrow at 8:30am,₹500,,"['Kerala', 'Biryani', 'South Indian', 'Arabian', 'Beverages', 'Juices', 'Shake', 'Chinese']"
4,,4.1,876,"Shanti Nagar, Bangalore",,₹450,,"['Biryani', 'Kebab', 'North Indian']"
5,"Great Recommendations, Good Crowd, Delivery Person, Wonderful Presentation, Manager, Best Place",4.1,5,"Shanti Nagar, Bangalore","12midnight – 1am, 11am – 12midnight",₹600,,"['Pizza', 'Italian', 'Pasta', 'Fast Food', 'Desserts', 'Beverages']"
6,,3.5,1,"Indiranagar, Bangalore","12midnight – 3am, 11am – 12midnight",₹150,,"['Biryani', 'South Indian']"
7,,4.5,5,"Basavanagudi, Bangalore",11am – 12midnight,₹400,,"['Ice Cream', 'Desserts', 'Shake', 'Beverages']"
8,,4.4,1,"Shivajinagar, Bangalore","12midnight – 1:30am, 11am – 12midnight",₹300,,"['Beverages', 'Shake']"
9,"Friendly Service Staff, Best in Service, Served Quickly, Very Affordable, Fair Prices, Sanitised Service",4.1,3,"Jayanagar, Bangalore","12midnight – 1am, 11am – 12midnight",₹700,"Mutton Nalli Fry, Kshatriya Kebab, Donne Chicken Biryani, Chicken Boneless, Mutton Biryani, Briyani","['Biryani', 'South Indian', 'Kebab', 'Desserts', 'Beverages']"
10,"Peaceful Environment, Affordable, Yummy Desserts, Excellent Services, Cheap Prices, Serving Size",3.5,5,"Indiranagar, Bangalore","12midnight – 3am, 10am – 12midnight",₹1,"Gourmet Style Pizza, Fish Cilantro, Unlimited Pizza Buffet, Caramel Chocolate, Double Chocolate Cookie, Tandoori Panner","['Pizza', 'Pasta', 'Sandwich', 'Fast Food', 'Desserts', 'Beverages']"
11,"Unlimited Refills, Elegantly Decorated, Office Crowd, Pocket Friendly, Great Recommendations, Best Quality",4.1,54.4,"BTM, Bangalore","11:30am – 5pm, 6pm – 1am",₹300,"Sprout Salad, Gulabjamun, Kadhai Paneer, Makhani, Veg Thali, Rajma","['North Indian', 'Chinese', 'Sichuan', 'Salad', 'Beverages']"
12,"Gastronomical Experience, Family Place, Combos, Good Value, Delivery Person, Best Places",4.4,13.6,"Koramangala 5th Block, Bangalore",11am – 12midnight,₹900,"Boneless Chicken, Veg Biriyani, Chicken 65, Dum Biryani, Raita, Mutton","['Biryani', 'North Indian', 'Beverages']"
13,"Overall the Food was Good, Juice Prices, Good Service Provider, Excellent Food and Service, Valet Service, Gastronomical Experience",4.2,19.7,"Shivajinagar, Bangalore",11am – 2:30am,₹950,"Chicken Kheema Dosa, Mutton Shaadi Ki Biryani, Keema Dosa, Chicken Manchurian Masala, Mutton Raan, Idiyappam","['North Indian', 'Biryani', 'Kebab', 'South Indian', 'Mughlai', 'Chinese', 'Seafood']"
14,"Pocket Friendly, Nice Taste, Cutlery, Tasty, Good Taste, Flavour",3.2,20.6,"BTM, Bangalore",24 Hours,₹400,,"['Biryani', 'North Indian', 'Chinese', 'Fast Food', 'Street Food', 'Sichuan', 'Desserts', 'Beverages']"
15,"Boneless Chicken Biryani, Serving Size, Themed Decor, Ample Seating Area, Relaxed Atmosphere, Good Value",4.4,30.1,"Residency Road, Bangalore","12midnight – 1:30am, 11:30am – 12midnight",₹1,"Meghna Special Chicken Biryani, Mix Veg Curry, Panner Biryani, Chicken Boneless, Lemon Chicken, Veg Biriyani","['Biryani', 'Andhra', 'North Indian', 'Seafood']"
16,"Cute Packaging, Weekend Brunch, Good Wifi, Food Presentation, Extensive Menu, Student Crowd",3.8,1,"Brigade Road, Bangalore","12midnight – 1am, 11am – 12midnight",₹500,"Maggie, Hot Wings, Cheesecake, Fries, Chicken","['Fast Food', 'Burger', 'Biryani', 'Desserts', 'Beverages']"
17,"Not very Crowded, Economical, Casual Seating Area, Great Recommendations, Prompt Service, Great Taste",3.9,7,"MG Road, Bangalore",10am – 2:45am,₹400,"Veg Pizza Mcpuff, Mcspicy Paneer, Peri Fries, Burgers","['Cafe', 'Burger', 'Desserts', 'Beverages', 'Fast Food']"
18,,3.6,2,"Basavanagudi, Bangalore",12:30pm – 12midnight,₹100,,"['Beverages', 'Shake', 'Juices', 'Ice Cream', 'Desserts', 'Burger', 'Fast Food']"
19,"Very Affordable, Proper Packaging, Wonderful Presentation, Perfect Presentation, Cute Packaging, Great Portions",4.1,2,"Brigade Road, Bangalore","12midnight – 3am, 11am – 12midnight",₹450,"Sandwiches, Roll, Meat, Chicken","['Burger', 'Fast Food']"
20,"Cleanliness, Cutlery, Management, Table, Portions, Flavour",4.2,7,"Residency Road, Bangalore",10am – 1am,₹1,"Brain Pepper Fry, Bheja Fry, Kababs, Chicken Kabab, Grilled Chicken, Ghee Rice","['North Indian', 'Mughlai', 'Chinese', 'Biryani', 'Seafood', 'Desserts', 'Shake', 'Beverages']"
21,"Value for Money, Ambience, Service, Food",3.9,531,"Frazer Town, Bangalore","12midnight – 2am, 11am – 12midnight",₹300,,"['Pizza', 'Pasta', 'Italian', 'Fast Food']"
